b'id',b'key',b'value',b'type'
b'40085521',b'source',b'Geobase_Import_2009',b'regular'
b'40085521',b'highway',b'residential',b'regular'
b'40085521',b'fr',b'avenue 2nd',b'name'
b'40085521',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40085521',b'acquisitionTechnique',b'GPS',b'geobase'
b'40088183',b'name',b'Laird Street',b'regular'
b'40088183',b'is_in',"b'Town of Arnprior,Ontario'",b'regular'
b'40088183',b'lanes',b'2',b'regular'
b'40088183',b'source',b'Geobase_Import_2009',b'regular'
b'40088183',b'highway',b'residential',b'regular'
b'40088183',b'fr',b'rue Laird',b'name'
b'40088183',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40088183',b'uuid',b'488e5db19a30457989abaf87f0823e0d',b'geobase'
b'40088183',b'datasetName',b'NRN:Ontario',b'geobase'
b'40088183',b'acquisitionTechnique',b'GPS',b'geobase'
b'40134118',b'name',b'Country Street',b'regular'
b'40134118',b'is_in',"b'Town of Mississippi Mills,Ontario'",b'regular'
b'40134118',b'lanes',b'2',b'regular'
b'40134118',b'source',b'Geobase_Import_2009',b'regular'
b'40134118',b'highway',b'tertiary',b'regular'
b'40134118',b'fr',b'rue Country',b'name'
b'40134118',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40134118',b'uuid',b'2ad8347651ae4e41b7deafee3d2df3ad',b'geobase'
b'40134118',b'datasetName',b'NRN:Ontario',b'geobase'
b'40134118',b'acquisitionTechnique',b'GPS',b'geobase'
b'40155510',b'crop',b'field_cropland',b'regular'
b'40155510',b'name',b'National Capital Commission',b'regular'
b'40155510',b'access',b'no',b'regular'
b'40155510',b'landuse',b'farmland',b'regular'
b'40240989',b'name',b'Rue de Tours',b'regular'
b'40240989',b'lanes',b'2',b'regular'
b'40240989',b'highway',b'residential',b'regular'
b'40240989',b'surface',b'asphalt',b'regular'
b'40285618',b'name',b'Rue de Cannes',b'regular'
b'40285618',b'lanes',b'2',b'regular'
b'40285618',b'layer',b'1',b'regular'
b'40285618',b'bridge',b'yes',b'regular'
b'40285618',b'source',b'Bing',b'regular'
b'40285618',b'highway',b'tertiary',b'regular'
b'40285618',b'surface',b'asphalt',b'regular'
b'40285618',b'maxspeed',b'50',b'regular'
b'40627688',b'bicycle',b'yes',b'regular'
b'40627688',b'highway',b'path',b'regular'
b'40713638',b'name',b'Rue de Dubuisson',b'regular'
b'40713638',b'lanes',b'2',b'regular'
b'40713638',b'highway',b'residential',b'regular'
b'40713638',b'surface',b'asphalt',b'regular'
b'40713638',b'sidewalk',b'none',b'regular'
b'40777229',b'name',b'TD Canada Trust',b'regular'
b'40777229',b'amenity',b'bank',b'regular'
b'40777229',b'building',b'commercial',b'regular'
b'40777229',b'city',b'Gatineau',b'addr'
b'40777229',b'source',b'Gatineau.ca/donneesouvertes 08Aug2015',b'addr'
b'40777229',b'street',b'Boulevard du Plateau',b'addr'
b'40777229',b'postcode',b'J9A 3G2',b'addr'
b'40777229',b'drive_through',b'yes',b'regular'
b'40777229',b'housenumber',b'125',b'addr'
b'40833272',b'name',b'Rue Asselin',b'regular'
b'40833272',b'lanes',b'2',b'regular'
b'40833272',b'source',b'Bing',b'regular'
b'40833272',b'highway',b'residential',b'regular'
b'40877117',b'name',b'Rue Cypress',b'regular'
b'40877117',b'lanes',b'2',b'regular'
b'40877117',b'highway',b'residential',b'regular'
b'40877117',b'surface',b'asphalt',b'regular'
b'41148340',b'name',b'Parc des Vendages',b'regular'
b'41148340',b'leisure',b'park',b'regular'
b'41555835',b'amenity',b'parking',b'regular'
b'41555835',b'parking',b'surface',b'regular'
b'42704072',b'boat',b'yes',b'regular'
b'42704072',b'lock',b'yes',b'regular'
b'42704072',b'name',b'Rideau Canal Waterway',b'regular'
